,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
13,13,553b9698498e298c559f6ef4,Indio Kitchen,59.31475419502692,18.083197690512648,Kocksgatan 52,2354,,SE,Stockholm,Storstockholm,Sverige,Peruvian Restaurant,45.0,175.0,9.2,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Lunch, Dinner, Dessert, "
14,14,5308ac99498ee1dcd566a65c,Shanti Gossip,59.312659,18.08151,Skånegatan 71,2124,,SE,Stockholm,Storstockholm,Sverige,Indian Restaurant,37.0,161.0,8.9,2.0,Yes,"Take-out, Delivery, ",Credit Cards: Yes,Yes,"Lunch, Dinner, "
15,15,4c14f4c1b7b9c9282312ac37,A la Crêpe,59.311170818125476,18.08085458845221,Katarina Bangata 42,1962,,SE,Stockholm,Storstockholm,Sverige,Creperie,15.0,35.0,8.8,,Yes,Delivery,Credit Cards: Yes,Yes,
16,16,4cf2c1ff899c6ea84c19f8c1,Elefantpojken,59.30929560268305,18.083983551748194,Ringvägen 151,1747,,SE,Stockholm,Storstockholm,Sverige,Thai Restaurant,23.0,106.0,8.6,2.0,Yes,,Credit Cards: Yes (incl. Visa),Yes,Dinner
17,17,4af451d9f964a52047f121e3,Urban Deli,59.31241,18.082578,Nytorget 4,2094,,SE,Stockholm,Storstockholm,Sverige,Deli / Bodega,186.0,838.0,8.9,2.0,Yes,"Table Service, Bar Service, Take-out, Delivery, ",Credit Cards: Yes (incl. American Express),Yes,"Breakfast, Brunch, Lunch, Dinner, Dessert, Bar Snacks, "
18,18,5117844ee4b0d424717545de,Pom & Flora,59.313866755410345,18.086725505140397,Bondegatan 64,2263,,SE,Stockholm,Storstockholm,Sverige,Café,52.0,201.0,9.0,2.0,No,No Delivery,Credit Cards: Yes (incl. MasterCard),Yes,"Breakfast, Brunch, Lunch, "
19,19,598ca02f112c6c6640d2fd62,Checa,59.308969999999995,18.082054,145 Ringvägen,1713,,SE,Stockholm,Storstockholm,Sverige,Seafood Restaurant,7.0,8.0,8.6,3.0,Yes,"Table Service, Bar Service, Take-out, ",Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Lunch, Dinner, Dessert, "
20,20,4adcdaecf964a520175a21e3,Soldaten Švejk,59.31441959002985,18.07637695608228,Östgötagatan 35,2353,,SE,Stockholm,Storstockholm,Sverige,Czech Restaurant,53.0,186.0,9.0,,No,"Bar Service, Delivery, ",Credit Cards: Yes (incl. American Express),Yes,"Dinner, Dessert, Happy Hour, "
21,21,4c5ac0e4d3aee21e81656b55,Kajsas i Parken,59.31126107903301,18.09104354995247,Stora Mejtens gränd,2011,,SE,Stockholm,Storstockholm,Sverige,Café,6.0,23.0,8.7,1.0,Yes,Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Brunch, Lunch, Dinner, "
22,22,4b5b30d2f964a520f6e928e3,Tezukuri Sushi,59.30548,18.091604999999998,Hammarby Kaj 38,1398,,SE,Stockholm,Storstockholm,Sverige,Sushi Restaurant,38.0,106.0,8.4,2.0,Yes,No Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Lunch, Dinner, "
23,23,53942b6f498e10da32d8de7c,Greasy Spoon,59.31592824383912,18.0818341417978,Tjärhovsgatan 19,2487,,SE,Stockholm,Storstockholm,Sverige,Breakfast Spot,160.0,455.0,9.0,2.0,No,No Delivery,Credit Cards: Yes (incl. Visa & MasterCard),Yes,"Breakfast, Brunch, Lunch, "
24,24,530f63e0498e5e60b441c3aa,Nook,59.31460258189958,18.08707424023462,Åsögatan 176,2346,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,27.0,98.0,8.9,2.0,Yes,Delivery,Credit Cards: Yes,No,"Brunch, Dinner, Dessert, "
25,25,57e2a241498e9cc83f15621f,Café Nizza,59.31459461408998,18.086637339323946,Åsögatan 171,2343,,SE,Stockholm,Storstockholm,Sverige,French Restaurant,9.0,42.0,8.8,3.0,Yes,"Table Service, Bar Service, No Delivery, ",Credit Cards: Yes,Yes,"Dinner, Dessert, Bar Snacks, Tasting Menu, "
26,26,51797a59498e9b657eacc0bc,Nytorget 6,59.3119799,18.0828361,Nytorget 6,2046,,SE,Stockholm,Storstockholm,Sverige,Modern European Restaurant,84.0,351.0,8.6,2.0,Yes,"Table Service, Bar Service, No Delivery, ",Credit Cards: Yes,Yes,"Breakfast, Brunch, Lunch, Dinner, Dessert, Bar Snacks, "
27,27,5547bdd4498e23bf399b7a8c,Bistro Bananas,59.31186224640603,18.075537676849503,Skånegatan 47,2083,,SE,Stockholm,Storstockholm,Sverige,Bistro,21.0,126.0,8.6,,Yes,No Delivery,Credit Cards: Yes,Yes,Dinner
28,28,53fb0345498e7dfcd314052e,Woodstockholm,59.317753,18.075070999999998,Mosebacke Torg 9,2732,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,20.0,86.0,9.1,2.0,Yes,No Delivery,Credit Cards: Yes,No,Dinner
29,29,4da5bd940cb6d75e29fdfa7b,Peony Restaurang,59.29610518425535,18.078883106077853,Skulptörvägen 4,386,,SE,Johanneshov,Storstockholm,Sverige,Chinese Restaurant,11.0,19.0,8.0,1.0,Yes,,,,
30,30,50701f03e4b092df41e0f695,Bageri Petrus,59.3170773658823,18.063480318859114,Swedenborgsgatan 4B,2852,,SE,Stockholm,Storstockholm,Sverige,Bakery,44.0,157.0,9.1,1.0,No,"Bar Service, Take-out, No Delivery, ",Credit Cards: Yes,Yes,"Breakfast, Brunch, Lunch, "
