,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
99,99,4bc6f4e392b376b0fdcc4e3a,Bara Ute,59.313878449663974,18.03463990913844,Hornstulls Strand 17,3582,,SE,Stockholm,Storstockholm,Sverige,Pub,2.0,4.0,5.3,1.0,,,,,
100,100,4de138fb8877aab7fe5e77f8,Old Port Pub,59.35048333855672,18.111364967177483,M/S Silja Symphony,6525,,SE,Stockholm,Storstockholm,Sverige,Pub,1.0,2.0,,1.0,,,Credit Cards: Yes,No,
101,101,4ba09fb6f964a520c77437e3,Kontoret Bar & Matsal,59.33973608412038,18.088297543188485,Bältgatan 2,5142,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,7.0,9.0,5.8,2.0,No,,Credit Cards: Yes,,Dinner
102,102,5aa3cf8afd16bb3e1c157bd1,Bron,59.337917000000004,18.035598999999998,Sankt Eriksgatan 64,5636,,SE,Stockholm,Storstockholm,Sverige,Pub,0.0,2.0,,2.0,,,,,"Breakfast, Dinner, "
103,103,506f05e7e4b052d994a66cbb,Harrys,59.31387041536355,18.06477483049413,Swedenborgsgatan 24,2497,,SE,Stockholm,Storstockholm,Sverige,Pub,1.0,3.0,5.1,1.0,,,,No,
104,104,4af52613f964a52070f821e3,Löwenbräu,59.331909277044275,18.026830425970115,Fridhemsplan 29,5346,,SE,Stockholm,Storstockholm,Sverige,Pub,5.0,12.0,5.5,2.0,Yes,No Delivery,Credit Cards: Yes,Yes,"Brunch, Lunch, Dinner, Dessert, "
105,105,4b2ba3d5f964a52092b824e3,Spitfire,59.337997439029294,18.069375329006718,Birger Jarlsgatan 33,5007,,SE,Stockholm,Storstockholm,Sverige,Pub,7.0,22.0,5.2,1.0,,,,No,Happy Hour
106,106,4caceb512f08236a70e18f61,Bagpipers,59.340411944957644,18.03066730499268,Rörstrandsgatan 21,6016,,SE,Stockholm,Storstockholm,Sverige,Pub,1.0,3.0,5.4,1.0,,"Table Service, Bar Service, ",Credit Cards: Yes,Yes,"Dinner, Bar Snacks, "
107,107,4adcdae8f964a5203f5921e3,Freys Hotel,59.33286848928052,18.05829287207973,Bryggargatan 12,4601,,SE,Stockholm,Storstockholm,Sverige,Hotel,20.0,30.0,6.9,,,,Credit Cards: Yes (incl. American Express),,
108,108,4de15671d22d2a4ecdab314b,META,59.348046320867006,18.071333241562343,Osquars Backe 21,6100,,SE,Stockholm,Storstockholm,Sverige,Pub,0.0,7.0,,,,,,No,
